ec,Temp,xLiPF6,xEC,xEMC,d,v,k
0.5,30,0.18952,0.40524,0.40524,1.2963,7.58,8.58
0.5,30,0.24904,0.37548,0.37548,1.3419,16.19,5.31
0.5,30,0.04039,0.47981,0.47981,1.1821,1.68,5.82
0.5,30,0.09783,0.45109,0.45109,1.2261,2.72,10.88
0.5,30,0.15914,0.42043,0.42043,1.2731,5.26,10.22
0.5,30,0.21928,0.39036,0.39036,1.3191,11.01,6.79
0.7,30,0,0.7,0.3,1.2199,1.72,0
0.7,30,0.0135,0.69055,0.29595,1.23,1.82,1.64
0.7,30,0.06468,0.65472,0.2806,1.2685,2.47,8.18
0.7,30,0.13,0.609,0.261,1.3177,4.74,10.22
0.7,30,0.1907,0.56651,0.24279,1.3633,10.8,7.7
0.7,30,0.24986,0.5251,0.22504,1.4078,26.97,2.5
0.7,30,0.03909,0.67264,0.28827,1.2493,2.08,5.4
0.7,30,0.09734,0.63186,0.2708,1.2931,3.3,10.01
0.7,30,0.16035,0.58776,0.2519,1.3405,7.01,9.34
0.7,30,0.22028,0.5458,0.23392,1.3856,16.91,5.45
0,40,0,0,1,0.9878,0.57,0
0,40,0.01394,0,0.98606,0.9994,0.61,0.08
0,40,0.07384,0,0.92616,1.0495,0.87,1.78
0,40,0.13444,0,0.86556,1.1001,1.39,5.47
0,40,0.19654,0,0.80346,1.1521,2.46,7.95
0,40,0.24616,0,0.75384,1.1935,4.03,7.48
0,40,0.04389,0,0.95611,1.0244,0.72,0.43
0,40,0.10414,0,0.89586,1.0748,1.09,3.6
0,40,0.16549,0,0.83451,1.1261,1.84,7.04
0,40,0.22135,0,0.77865,1.1728,3.14,8.04
0.3,40,0,0.3,0.7,1.0775,0.88,0
0.3,40,0.01003,0.29699,0.69298,1.0852,0.95,1.22
0.3,40,0.06277,0.28117,0.65606,1.1257,1.4,8.32
0.3,40,0.12247,0.26326,0.61427,1.1717,2.22,10.95
0.3,40,0.20188,0.23944,0.55868,1.2327,4.19,10.32
0.3,40,0.24892,0.22532,0.52576,1.2689,6.15,8.38
0.3,40,0.0364,0.28908,0.67452,1.1055,1.15,5.32
0.3,40,0.09262,0.27221,0.63517,1.1487,1.76,10.21
0.3,40,0.16218,0.25135,0.58648,1.2022,3.05,10.95
0.3,40,0.2254,0.23238,0.54222,1.2508,5.07,9.59
0.5,40,0,0.5,0.5,1.1396,1.13,0
0.5,40,0.01387,0.49307,0.49307,1.1502,1.22,2.24
0.5,40,0.0669,0.46655,0.46655,1.191,1.74,11.1
0.5,40,0.12876,0.43562,0.43562,1.2385,3.05,13.44
0.5,40,0.18952,0.40524,0.40524,1.2852,5.93,10.69
0.5,40,0.24904,0.37548,0.37548,1.3309,12.14,7.21
0.5,40,0.04039,0.47981,0.47981,1.1706,1.44,7.4
0.5,40,0.09783,0.45109,0.45109,1.2147,2.27,13.23
0.5,40,0.15914,0.42043,0.42043,1.2619,4.21,12.39
0.5,40,0.21928,0.39036,0.39036,1.3081,8.44,8.87
0.7,40,0,0.7,0.3,1.2093,1.43,0
0.7,40,0.0135,0.69055,0.29595,1.2195,1.52,1.92
0.7,40,0.06468,0.65472,0.2806,1.2578,2.09,9.76
0.7,40,0.13,0.609,0.261,1.3067,3.83,12.58
0.7,40,0.1907,0.56651,0.24279,1.3522,7.94,9.9
0.7,40,0.24986,0.5251,0.22504,1.3965,17.69,3.42
0.7,40,0.03909,0.67264,0.28827,1.2386,1.75,6.39
0.7,40,0.09734,0.63186,0.2708,1.2823,2.75,12.1
0.7,40,0.16035,0.58776,0.2519,1.3295,5.43,11.74
0.7,40,0.22028,0.5458,0.23392,1.3743,11.76,7.19
